response,response_label,channel,response_role,status,earliest_estimated_horizon,earliest_p10_horizon,peak_abs_horizon,peak_response,cumulative_response,direction,p10_horizon_share,estimated_horizons,frequency_integrity,interpretation_layer,nobs,coefficient_1sd,std_error_hac_1sd,p_value,timing_note,persistence_strength,early_timing_score,persistence_rank,intermediation_timing_score
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,estimated,0.0,0.0,6.0,0.1487160814617677,0.3569638354441788,positive,0.6666666666666666,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.3569638354441788,1.0,2.0,3.0
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,indirect_compensation_proxy,estimated,0.0,24.0,1.0,1.1731114972788432,1.9620593669901727,positive,0.16666666666666666,6.0,monthly_observed,ordered_timing_evidence,,,,,,1.9620593669901727,3.0,1.0,4.0
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,estimated,0.0,1.0,12.0,0.05000393321221723,0.14007707210426268,positive,0.3333333333333333,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.14007707210426268,2.0,3.0,5.0
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,estimated,0.0,1.0,12.0,0.025183428265081888,0.07072030870698401,positive,0.3333333333333333,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.07072030870698401,2.0,4.0,6.0
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,canonical_proxy,estimated,0.0,0.0,24.0,0.2604509772829013,-0.04142012307708076,negative,0.3333333333333333,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.04142012307708076,1.0,6.0,7.0
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,estimated,0.0,,24.0,0.033756469969040886,0.05999755922699097,positive,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.05999755922699097,3.0,5.0,8.0
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,monthly,estimated,0.0,,24.0,0.03745171503615633,0.012818260217914816,positive,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.012818260217914816,3.0,7.0,10.0
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,estimated,0.0,,24.0,-0.03082407637987003,-0.0055231028406597035,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.0055231028406597035,3.0,8.0,11.0
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,estimated,0.0,,24.0,-0.000945344977558459,-0.0018728056274944047,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.0018728056274944047,3.0,9.0,12.0
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,estimated,0.0,,24.0,-0.00140381057727144,-0.001098362522048242,negative,0.0,6.0,monthly_observed,ordered_timing_evidence,,,,,,0.001098362522048242,3.0,10.0,13.0
bls_credit_standards_consumer_q_observed,BLS consumer-credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-0.7696271092794953,0.6629326789579514,0.24566504597390165,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
bls_credit_standards_mortgage_q_observed,BLS mortgage credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-0.12411185995760168,0.901125673558324,0.8904539658237832,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
bls_credit_standards_nfc_q_observed,BLS enterprise credit standards,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,negative,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,-1.4785334053307468,0.5633131252698901,0.008672288046858701,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
bls_loan_demand_consumer_q_observed,BLS consumer-credit demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,2.775830173270013,0.9182258937234625,0.002502522544732242,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
bls_loan_demand_mortgage_q_observed,BLS mortgage loan demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,3.6077213773775254,1.663940462816959,0.03014504213453032,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
bls_loan_demand_nfc_q_observed,BLS enterprise loan demand,bank_lending_survey,quarterly_observed_regime_tag,estimated_quarter_end_only,,,,,,positive,,,quarter_end_observed_only_no_interpolation,mixed_frequency_timing_tag,82.0,3.0994836144663127,0.6237337667067061,6.721537052991045e-07,BLS is quarterly and appears only on quarter-end months; no monthly filling is used.,,4.0,11.0,15.0
